date,gmina_code,voivodeship_code,kis,recommended_level,recommended_spo
2026-09-13,0202003,02,42.8,powiat,SPO-12;SPO-3
2026-09-13,1603001,16,30.7,powiat,SPO-12;SPO-3
2026-09-13,1602003,16,36.8,powiat,SPO-12;SPO-3
2026-09-13,1603007,16,29.7,powiat,SPO-12;SPO-3
2026-09-14,0201001,02,41.3,powiat,SPO-12;SPO-3
2026-09-14,0203007,02,25.2,powiat,SPO-12;SPO-3
2026-09-14,1601001,16,43.1,powiat,SPO-12;SPO-3
2026-09-14,1601005,16,26.2,powiat,SPO-12;SPO-3
2026-09-14,1602003,16,26.2,powiat,SPO-12;SPO-3
2026-09-14,1603003,16,30.2,powiat,SPO-12;SPO-3
2026-09-14,1604002,16,32.0,powiat,SPO-12;SPO-3
2026-09-15,0201001,02,60.2,wojewoda,SPO-12;SPO-3
2026-09-15,0203001,02,37.3,powiat,SPO-12;SPO-3
2026-09-15,0201006,02,43.2,powiat,SPO-12;SPO-3
2026-09-15,0201007,02,37.4,powiat,SPO-12;SPO-3
2026-09-15,0201008,02,28.0,powiat,SPO-12;SPO-3
2026-09-15,0202001,02,36.2,powiat,SPO-12;SPO-3
2026-09-15,0202002,02,29.0,powiat,SPO-12;SPO-3
2026-09-15,0202003,02,36.1,powiat,SPO-12;SPO-3
2026-09-15,0202004,02,39.6,powiat,SPO-12;SPO-3
2026-09-15,0202005,02,52.8,wojewoda,SPO-12;SPO-3
2026-09-15,0202006,02,36.2,powiat,SPO-12;SPO-3
2026-09-15,0203005,02,39.8,powiat,SPO-12;SPO-3
2026-09-15,0203006,02,54.9,wojewoda,SPO-12;SPO-3
2026-09-15,0203007,02,60.2,wojewoda,SPO-12;SPO-3
2026-09-15,1601001,16,78.6,minister wiodący,SPO-12;SPO-3
2026-09-15,1601003,16,42.1,powiat,SPO-12;SPO-3
2026-09-15,1603001,16,49.9,wojewoda,SPO-12;SPO-3
2026-09-15,1601007,16,38.8,powiat,SPO-12;SPO-3
2026-09-15,1601008,16,61.2,wojewoda,SPO-12;SPO-3
2026-09-15,1601009,16,28.7,powiat,SPO-12;SPO-3
2026-09-15,1602003,16,61.7,wojewoda,SPO-12;SPO-3
2026-09-15,1602005,16,31.3,powiat,SPO-12;SPO-3
2026-09-15,1602007,16,53.6,wojewoda,SPO-12;SPO-3
2026-09-15,1602008,16,34.5,powiat,SPO-12;SPO-3
2026-09-15,1603003,16,45.9,wojewoda,SPO-12;SPO-3
2026-09-15,1603005,16,49.7,wojewoda,SPO-12;SPO-3
2026-09-15,1603006,16,26.9,powiat,SPO-12;SPO-3
2026-09-15,1603007,16,42.9,powiat,SPO-12;SPO-3
2026-09-15,1604002,16,32.0,powiat,SPO-12;SPO-3
2026-09-16,0201001,02,55.2,wojewoda,SPO-12;SPO-3
2026-09-16,0201003,02,34.0,powiat,SPO-12;SPO-3
2026-09-16,0203001,02,62.7,wojewoda,SPO-12;SPO-3
2026-09-16,0201005,02,33.1,powiat,SPO-12;SPO-3
2026-09-16,0201006,02,49.0,wojewoda,SPO-12;SPO-3
2026-09-16,0201007,02,49.2,wojewoda,SPO-12;SPO-3
2026-09-16,0201008,02,40.2,powiat,SPO-12;SPO-3
2026-09-16,0201009,02,38.1,powiat,SPO-12;SPO-3
2026-09-16,0201010,02,40.7,powiat,SPO-12;SPO-3
