date,voivodeship_code,voivodeship_name,max_kis,recommended_level,recommended_spo,explanation
2026-09-14,02,dolnośląskie,34.5,powiat,SPO-12;SPO-3,Max lokalny KIS=34.5; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-14,16,opolskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-15,02,dolnośląskie,34.5,powiat,SPO-12;SPO-3,Max lokalny KIS=34.5; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-15,16,opolskie,43.2,powiat,SPO-12;SPO-3,Max lokalny KIS=43.2; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-16,02,dolnośląskie,47.3,wojewoda,SPO-12;SPO-3,Max lokalny KIS=47.3; rekomendowany poziom wojewoda; SPO SPO-12;SPO-3
2026-09-16,04,kujawsko-pomorskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-16,12,małopolskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-16,16,opolskie,65.4,minister wiodący,SPO-12;SPO-3,Max lokalny KIS=65.4; rekomendowany poziom minister wiodący; SPO SPO-12;SPO-3
2026-09-17,02,dolnośląskie,50.1,wojewoda,SPO-12;SPO-3,Max lokalny KIS=50.1; rekomendowany poziom wojewoda; SPO SPO-12;SPO-3
2026-09-17,04,kujawsko-pomorskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-17,06,lubelskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-17,12,małopolskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-17,16,opolskie,35.2,powiat,SPO-12;SPO-3,Max lokalny KIS=35.2; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-17,26,świętokrzyskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-18,02,dolnośląskie,49.2,wojewoda,SPO-12;SPO-3,Max lokalny KIS=49.2; rekomendowany poziom wojewoda; SPO SPO-12;SPO-3
2026-09-18,06,lubelskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-18,08,lubuskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-18,16,opolskie,37.2,powiat,SPO-12;SPO-3,Max lokalny KIS=37.2; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-18,26,świętokrzyskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-18,28,warmińsko-mazurskie,26.2,powiat,SPO-12;SPO-3,Max lokalny KIS=26.2; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-19,06,lubelskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-19,08,lubuskie,32.0,powiat,SPO-12;SPO-3,Max lokalny KIS=32.0; rekomendowany poziom powiat; SPO SPO-12;SPO-3
2026-09-21,02,dolnośląskie,26.2,powiat,SPO-12;SPO-3,Max lokalny KIS=26.2; rekomendowany poziom powiat; SPO SPO-12;SPO-3
