date,voivodeship_code,voivodeship_name,kis,max_kis
2026-09-12,02,dolnośląskie,2.7,21.2
2026-09-12,04,kujawsko-pomorskie,2.2,6.5
2026-09-12,06,lubelskie,2.1,6.5
2026-09-12,08,lubuskie,2.2,6.5
2026-09-12,10,łódzkie,2.3,6.5
2026-09-12,12,małopolskie,2.3,6.5
2026-09-12,14,mazowieckie,2.2,6.5
2026-09-12,16,opolskie,3.8,21.4
2026-09-12,18,podkarpackie,2.2,6.5
2026-09-12,20,podlaskie,2.2,6.5
2026-09-12,22,pomorskie,2.4,6.5
2026-09-12,24,śląskie,2.2,6.5
2026-09-12,26,świętokrzyskie,2.3,6.5
2026-09-12,28,warmińsko-mazurskie,2.3,6.6
2026-09-12,30,wielkopolskie,2.2,7.8
2026-09-12,32,zachodniopomorskie,2.2,6.5
2026-09-13,02,dolnośląskie,3.6,42.8
2026-09-13,04,kujawsko-pomorskie,2.3,6.7
2026-09-13,06,lubelskie,2.2,7.6
2026-09-13,08,lubuskie,2.2,6.5
2026-09-13,10,łódzkie,2.3,6.5
2026-09-13,12,małopolskie,2.3,6.5
2026-09-13,14,mazowieckie,2.2,7.8
2026-09-13,16,opolskie,5.1,36.8
2026-09-13,18,podkarpackie,2.2,6.5
2026-09-13,20,podlaskie,2.3,6.5
2026-09-13,22,pomorskie,2.4,6.5
2026-09-13,24,śląskie,2.3,7.8
2026-09-13,26,świętokrzyskie,2.3,6.5
2026-09-13,28,warmińsko-mazurskie,2.3,6.5
2026-09-13,30,wielkopolskie,2.3,8.1
2026-09-13,32,zachodniopomorskie,2.2,6.5
2026-09-14,02,dolnośląskie,3.8,41.3
2026-09-14,04,kujawsko-pomorskie,2.3,7.8
2026-09-14,06,lubelskie,2.2,7.8
2026-09-14,08,lubuskie,2.2,6.5
2026-09-14,10,łódzkie,2.3,7.8
2026-09-14,12,małopolskie,2.3,6.5
2026-09-14,14,mazowieckie,2.2,6.5
2026-09-14,16,opolskie,6.5,43.1
2026-09-14,18,podkarpackie,2.2,6.5
2026-09-14,20,podlaskie,2.2,6.5
2026-09-14,22,pomorskie,2.4,6.5
2026-09-14,24,śląskie,2.2,6.5
2026-09-14,26,świętokrzyskie,2.3,6.5
2026-09-14,28,warmińsko-mazurskie,2.3,6.5
2026-09-14,30,wielkopolskie,2.2,7.8
2026-09-14,32,zachodniopomorskie,2.2,6.5
2026-09-15,02,dolnośląskie,6.5,60.2
2026-09-15,04,kujawsko-pomorskie,2.4,20.0
2026-09-15,06,lubelskie,2.2,6.5
2026-09-15,08,lubuskie,2.2,6.5
2026-09-15,10,łódzkie,2.3,6.5
2026-09-15,12,małopolskie,2.4,20.0
2026-09-15,14,mazowieckie,2.3,6.5
2026-09-15,16,opolskie,13.4,78.6
2026-09-15,18,podkarpackie,2.2,6.5
2026-09-15,20,podlaskie,2.4,20.0
2026-09-15,22,pomorskie,2.6,20.0
2026-09-15,24,śląskie,2.2,6.5
2026-09-15,26,świętokrzyskie,2.4,6.5
2026-09-15,28,warmińsko-mazurskie,2.3,7.8
2026-09-15,30,wielkopolskie,2.4,20.0
2026-09-15,32,zachodniopomorskie,2.5,20.0
2026-09-16,02,dolnośląskie,7.3,65.3
2026-09-16,04,kujawsko-pomorskie,2.6,33.2
2026-09-16,06,lubelskie,2.3,8.8
2026-09-16,08,lubuskie,2.3,6.5
2026-09-16,10,łódzkie,2.4,20.0
2026-09-16,12,małopolskie,2.8,32.0
2026-09-16,14,mazowieckie,2.3,6.5
2026-09-16,16,opolskie,15.0,100
2026-09-16,18,podkarpackie,2.2,6.5
2026-09-16,20,podlaskie,2.5,20.0
2026-09-16,22,pomorskie,3.1,20.0
2026-09-16,24,śląskie,2.5,20.0
2026-09-16,26,świętokrzyskie,2.7,20.0
2026-09-16,28,warmińsko-mazurskie,2.6,20.0
2026-09-16,30,wielkopolskie,2.5,20.0
2026-09-16,32,zachodniopomorskie,2.6,21.2
2026-09-17,02,dolnośląskie,8.0,89.4
2026-09-17,04,kujawsko-pomorskie,2.6,32.0
2026-09-17,06,lubelskie,2.5,32.0
2026-09-17,08,lubuskie,2.3,6.5
2026-09-17,10,łódzkie,2.4,20.0
2026-09-17,12,małopolskie,2.8,32.0
2026-09-17,14,mazowieckie,2.4,20.0
2026-09-17,16,opolskie,15.1,86.8
2026-09-17,18,podkarpackie,2.3,6.8
2026-09-17,20,podlaskie,2.5,20.0
2026-09-17,22,pomorskie,2.9,21.2
2026-09-17,24,śląskie,2.5,21.2
2026-09-17,26,świętokrzyskie,2.8,32.0
2026-09-17,28,warmińsko-mazurskie,2.8,21.2
2026-09-17,30,wielkopolskie,2.6,21.2
2026-09-17,32,zachodniopomorskie,2.6,20.0
2026-09-18,02,dolnośląskie,7.3,66.2
2026-09-18,04,kujawsko-pomorskie,2.3,20.0
2026-09-18,06,lubelskie,2.4,32.0
2026-09-18,08,lubuskie,2.6,32.0
2026-09-18,10,łódzkie,2.4,20.0
2026-09-18,12,małopolskie,2.8,20.0
2026-09-18,14,mazowieckie,2.3,20.0
2026-09-18,16,opolskie,12.2,68.6
2026-09-18,18,podkarpackie,2.3,7.6
2026-09-18,20,podlaskie,2.5,20.0
2026-09-18,22,pomorskie,3.0,21.2
2026-09-18,24,śląskie,2.5,22.5
2026-09-18,26,świętokrzyskie,2.8,32.0
2026-09-18,28,warmińsko-mazurskie,2.7,20.0
2026-09-18,30,wielkopolskie,2.6,21.2
2026-09-18,32,zachodniopomorskie,2.5,20.0
2026-09-19,02,dolnośląskie,5.1,47.1
2026-09-19,04,kujawsko-pomorskie,2.3,21.2
2026-09-19,06,lubelskie,2.4,32.0
2026-09-19,08,lubuskie,2.5,32.0
2026-09-19,10,łódzkie,2.4,21.2
2026-09-19,12,małopolskie,2.3,7.8
2026-09-19,14,mazowieckie,2.2,7.1
2026-09-19,16,opolskie,8.4,36.2
2026-09-19,18,podkarpackie,2.2,6.5
2026-09-19,20,podlaskie,2.4,20.0
2026-09-19,22,pomorskie,2.5,20.0
2026-09-19,24,śląskie,2.4,20.0
2026-09-19,26,świętokrzyskie,2.5,20.0
2026-09-19,28,warmińsko-mazurskie,2.4,9.6
2026-09-19,30,wielkopolskie,2.4,20.0
2026-09-19,32,zachodniopomorskie,2.2,7.8
2026-09-20,02,dolnośląskie,3.8,25.2
2026-09-20,04,kujawsko-pomorskie,2.2,7.8
2026-09-20,06,lubelskie,2.2,6.5
2026-09-20,08,lubuskie,2.4,20.0
2026-09-20,10,łódzkie,2.3,6.5
2026-09-20,12,małopolskie,2.4,7.8
2026-09-20,14,mazowieckie,2.2,6.5
2026-09-20,16,opolskie,6.6,41.5
2026-09-20,18,podkarpackie,2.2,6.5
2026-09-20,20,podlaskie,2.3,6.5
2026-09-20,22,pomorskie,2.4,7.8
2026-09-20,24,śląskie,2.3,7.8
2026-09-20,26,świętokrzyskie,2.4,6.5
2026-09-20,28,warmińsko-mazurskie,2.3,6.5
