gmina_code,gmina_name,powiat_code,gmina_type,population,lat,lon
0201001,Kłodzko,0201,miejska,12418,51.2269,16.18686
0201002,Bystrzyca Kłodzka,0201,wiejska,4194,51.27636,16.34822
0201003,Lądek-Zdrój,0201,miejsko-wiejska,9421,51.23074,16.30668
0201004,Stronie Śląskie,0201,miejsko-wiejska,30010,51.31387,16.19017
0203001,Wrocław,0203,miejska,11386,50.97352,16.47672
0201005,kłodzki gmina 05,0201,wiejska,14353,51.39709,16.47805
0201006,kłodzki gmina 06,0201,wiejska,24929,51.24991,16.13459
0201007,kłodzki gmina 07,0201,wiejska,3723,51.41024,16.51404
0201008,kłodzki gmina 08,0201,miejska,14514,51.44627,16.32987
0201009,kłodzki gmina 09,0201,wiejska,17257,51.4448,16.11758
0201010,kłodzki gmina 10,0201,wiejska,10734,51.25936,16.45963
0202001,wrocławski gmina 01,0202,wiejska,14406,51.28904,17.84659
0202002,wrocławski gmina 02,0202,miejsko-wiejska,41138,51.38426,17.7452
0202003,wrocławski gmina 03,0202,wiejska,29139,51.43558,17.60476
0202004,wrocławski gmina 04,0202,miejsko-wiejska,13105,51.30454,17.79307
0202005,wrocławski gmina 05,0202,miejsko-wiejska,12273,51.57811,17.59712
0202006,wrocławski gmina 06,0202,miejska,21667,51.17733,17.4614
0203002,Wrocław gmina 02,0203,miejsko-wiejska,21482,51.08289,16.26545
0203003,Wrocław gmina 03,0203,wiejska,7626,51.16455,16.48541
0203004,Wrocław gmina 04,0203,wiejska,6644,50.82585,16.24644
0203005,Wrocław gmina 05,0203,miejsko-wiejska,22103,50.99191,16.1874
0203006,Wrocław gmina 06,0203,miejsko-wiejska,25389,51.08786,16.37946
0203007,Wrocław gmina 07,0203,miejska,26828,51.01877,16.4763
0204001,dolnośląskie powiat 04 gmina 01,0204,miejsko-wiejska,23942,50.68994,17.32983
0204002,dolnośląskie powiat 04 gmina 02,0204,wiejska,12858,50.61946,17.32449
0204003,dolnośląskie powiat 04 gmina 03,0204,miejsko-wiejska,12679,50.85709,17.25583
0204004,dolnośląskie powiat 04 gmina 04,0204,miejska,30694,50.73756,17.1742
0204005,dolnośląskie powiat 04 gmina 05,0204,wiejska,23852,50.64923,17.1331
0204006,dolnośląskie powiat 04 gmina 06,0204,wiejska,39108,50.5737,17.35941
0205001,dolnośląskie powiat 05 gmina 01,0205,wiejska,900,50.5261,17.11544
0205002,dolnośląskie powiat 05 gmina 02,0205,wiejska,14020,50.60897,17.15765
0205003,dolnośląskie powiat 05 gmina 03,0205,wiejska,17649,50.59625,17.12143
0205004,dolnośląskie powiat 05 gmina 04,0205,miejska,8968,50.5778,17.33314
0205005,dolnośląskie powiat 05 gmina 05,0205,wiejska,23431,50.60615,17.28817
0205006,dolnośląskie powiat 05 gmina 06,0205,wiejska,33408,50.69504,17.17185
0206001,dolnośląskie powiat 06 gmina 01,0206,wiejska,15963,51.40751,17.00422
0206002,dolnośląskie powiat 06 gmina 02,0206,wiejska,21588,51.34038,16.60112
0206003,dolnośląskie powiat 06 gmina 03,0206,miejsko-wiejska,5664,51.39217,16.81502
0206004,dolnośląskie powiat 06 gmina 04,0206,wiejska,13900,51.37472,16.96716
0206005,dolnośląskie powiat 06 gmina 05,0206,wiejska,5903,51.36137,16.8298
0206006,dolnośląskie powiat 06 gmina 06,0206,wiejska,13825,51.42853,16.61123
0207001,dolnośląskie powiat 07 gmina 01,0207,miejska,8251,52.00892,16.87277
0207002,dolnośląskie powiat 07 gmina 02,0207,miejsko-wiejska,4170,52.00276,16.74671
0207003,dolnośląskie powiat 07 gmina 03,0207,wiejska,33806,51.9059,16.66098
0207004,dolnośląskie powiat 07 gmina 04,0207,miejska,10451,51.79375,16.59332
0207005,dolnośląskie powiat 07 gmina 05,0207,wiejska,24518,51.77479,16.84014
0207006,dolnośląskie powiat 07 gmina 06,0207,miejska,30469,51.71802,16.84314
0208001,dolnośląskie powiat 08 gmina 01,0208,miejsko-wiejska,14124,51.17515,17.42719
0208002,dolnośląskie powiat 08 gmina 02,0208,wiejska,18327,51.27772,17.59104
0208003,dolnośląskie powiat 08 gmina 03,0208,wiejska,7302,51.33996,17.71035
0208004,dolnośląskie powiat 08 gmina 04,0208,wiejska,24734,51.39406,17.59833
0208005,dolnośląskie powiat 08 gmina 05,0208,miejsko-wiejska,16618,51.469,17.62367
0208006,dolnośląskie powiat 08 gmina 06,0208,wiejska,20856,51.29765,17.59661
0209001,dolnośląskie powiat 09 gmina 01,0209,miejska,16105,51.21492,17.89828
0209002,dolnośląskie powiat 09 gmina 02,0209,miejsko-wiejska,10179,51.24176,17.54206
0209003,dolnośląskie powiat 09 gmina 03,0209,wiejska,10036,51.08026,17.5948
0209004,dolnośląskie powiat 09 gmina 04,0209,miejsko-wiejska,15567,51.12281,17.86916
0209005,dolnośląskie powiat 09 gmina 05,0209,wiejska,2973,50.96964,17.58893
0209006,dolnośląskie powiat 09 gmina 06,0209,wiejska,8044,51.08526,17.81955
0210001,dolnośląskie powiat 10 gmina 01,0210,wiejska,23954,51.46701,17.51168
0210002,dolnośląskie powiat 10 gmina 02,0210,wiejska,12970,51.40536,17.67827
0210003,dolnośląskie powiat 10 gmina 03,0210,wiejska,4492,51.15028,17.46953
0210004,dolnośląskie powiat 10 gmina 04,0210,wiejska,16257,51.16462,17.78914
0210005,dolnośląskie powiat 10 gmina 05,0210,wiejska,24934,51.37587,17.50056
0210006,dolnośląskie powiat 10 gmina 06,0210,wiejska,29363,51.47651,17.71104
0211001,dolnośląskie powiat 11 gmina 01,0211,miejsko-wiejska,23024,51.36183,16.56851
0211002,dolnośląskie powiat 11 gmina 02,0211,wiejska,11225,51.61479,16.49127
0211003,dolnośląskie powiat 11 gmina 03,0211,wiejska,27177,51.34716,16.33189
0211004,dolnośląskie powiat 11 gmina 04,0211,wiejska,26094,51.40555,16.22615
0211005,dolnośląskie powiat 11 gmina 05,0211,wiejska,9054,51.25516,16.40814
0211006,dolnośląskie powiat 11 gmina 06,0211,wiejska,12546,51.30144,16.43197
0212001,dolnośląskie powiat 12 gmina 01,0212,miejska,15130,50.66894,16.53564
0212002,dolnośląskie powiat 12 gmina 02,0212,wiejska,27250,50.82623,16.22228
0212003,dolnośląskie powiat 12 gmina 03,0212,wiejska,13165,50.8985,16.6065
0212004,dolnośląskie powiat 12 gmina 04,0212,wiejska,3982,50.57485,16.64412
0212005,dolnośląskie powiat 12 gmina 05,0212,wiejska,900,50.52645,16.47262
