institution_id,institution_code,institution_name,level,seat
INST-001,RCB,Rządowe Centrum Bezpieczeństwa,krajowy,Warszawa
INST-002,KG_PSP,Komenda Główna PSP,krajowy,Warszawa
INST-003,POLICJA,Komenda Główna Policji,krajowy,Warszawa
INST-004,IMGW,IMGW-PIB,krajowy,Warszawa
INST-005,WODY_POLSKIE,PGW Wody Polskie,krajowy,Warszawa
INST-006,PSE,Polskie Sieci Elektroenergetyczne,krajowy,Konstancin-Jeziorna
INST-007,TELCO,Operatorzy telekomunikacyjni,krajowy,Warszawa
INST-008,NFZ,NFZ i szpitale,krajowy,Warszawa
INST-009,SG,Straż Graniczna,krajowy,Warszawa
INST-010,WOT,Wojska Obrony Terytorialnej,krajowy,Zegrze
INST-WCZK-02,WCZK_02,Wojewódzkie Centrum Zarządzania Kryzysowego - dolnośląskie,wojewódzki,Wrocław
INST-KWPSP-02,KW_PSP_02,Komenda Wojewódzka PSP - dolnośląskie,wojewódzki,Wrocław
INST-WCZK-04,WCZK_04,Wojewódzkie Centrum Zarządzania Kryzysowego - kujawsko-pomorskie,wojewódzki,Bydgoszcz/Toruń
INST-KWPSP-04,KW_PSP_04,Komenda Wojewódzka PSP - kujawsko-pomorskie,wojewódzki,Bydgoszcz/Toruń
INST-WCZK-06,WCZK_06,Wojewódzkie Centrum Zarządzania Kryzysowego - lubelskie,wojewódzki,Lublin
INST-KWPSP-06,KW_PSP_06,Komenda Wojewódzka PSP - lubelskie,wojewódzki,Lublin
INST-WCZK-08,WCZK_08,Wojewódzkie Centrum Zarządzania Kryzysowego - lubuskie,wojewódzki,Gorzów Wlkp./Zielona Góra
INST-KWPSP-08,KW_PSP_08,Komenda Wojewódzka PSP - lubuskie,wojewódzki,Gorzów Wlkp./Zielona Góra
INST-WCZK-10,WCZK_10,Wojewódzkie Centrum Zarządzania Kryzysowego - łódzkie,wojewódzki,Łódź
INST-KWPSP-10,KW_PSP_10,Komenda Wojewódzka PSP - łódzkie,wojewódzki,Łódź
INST-WCZK-12,WCZK_12,Wojewódzkie Centrum Zarządzania Kryzysowego - małopolskie,wojewódzki,Kraków
INST-KWPSP-12,KW_PSP_12,Komenda Wojewódzka PSP - małopolskie,wojewódzki,Kraków
INST-WCZK-14,WCZK_14,Wojewódzkie Centrum Zarządzania Kryzysowego - mazowieckie,wojewódzki,Warszawa
INST-KWPSP-14,KW_PSP_14,Komenda Wojewódzka PSP - mazowieckie,wojewódzki,Warszawa
INST-WCZK-16,WCZK_16,Wojewódzkie Centrum Zarządzania Kryzysowego - opolskie,wojewódzki,Opole
INST-KWPSP-16,KW_PSP_16,Komenda Wojewódzka PSP - opolskie,wojewódzki,Opole
INST-WCZK-18,WCZK_18,Wojewódzkie Centrum Zarządzania Kryzysowego - podkarpackie,wojewódzki,Rzeszów
INST-KWPSP-18,KW_PSP_18,Komenda Wojewódzka PSP - podkarpackie,wojewódzki,Rzeszów
INST-WCZK-20,WCZK_20,Wojewódzkie Centrum Zarządzania Kryzysowego - podlaskie,wojewódzki,Białystok
