powiat_code,powiat_name,voivodeship_code,population,area_km2,lat,lon
0201,kłodzki,02,92644,1980.7,51.31704,16.32602
0202,wrocławski,02,120084,454.3,51.37295,17.62677
0203,Wrocław,02,104237,312.4,50.99078,16.3332
0204,dolnośląskie powiat 04,02,135658,1530.6,50.65616,17.26333
0205,dolnośląskie powiat 05,02,97805,2143.7,50.68856,17.1724
0206,dolnośląskie powiat 06,02,92812,615.4,51.40511,16.79888
0207,dolnośląskie powiat 07,02,109106,2241.6,51.79372,16.79339
0208,dolnośląskie powiat 08,02,104774,1964.9,51.26349,17.49919
0209,dolnośląskie powiat 09,02,65500,2199.1,51.16224,17.74817
0210,dolnośląskie powiat 10,02,125956,1606.8,51.28568,17.58106
0211,dolnośląskie powiat 11,02,100260,437.5,51.41476,16.35724
0212,dolnośląskie powiat 12,02,124020,903.2,50.70709,16.44
0213,dolnośląskie powiat 13,02,80543,877.4,51.31143,16.83575
0214,dolnośląskie powiat 14,02,113247,1681.5,51.76288,17.26055
0215,dolnośląskie powiat 15,02,113462,2575.4,50.61461,17.38219
0216,dolnośląskie powiat 16,02,124600,1858.8,51.3179,17.12392
0217,dolnośląskie powiat 17,02,97531,991.3,51.62218,17.4525
0218,dolnośląskie powiat 18,02,104944,2465.8,50.75951,16.60497
0219,dolnośląskie powiat 19,02,77444,2399.2,51.67245,16.76052
0220,dolnośląskie powiat 20,02,68342,829.6,51.04618,16.68582
0221,dolnośląskie powiat 21,02,34275,1188.6,51.19995,16.68261
0222,dolnośląskie powiat 22,02,59877,1447.4,50.68688,17.78481
0223,dolnośląskie powiat 23,02,132999,2111.4,50.49426,16.35917
0224,dolnośląskie powiat 24,02,126541,1146.8,50.99114,16.38379
0225,dolnośląskie powiat 25,02,162297,277.0,51.85208,17.08217
0226,dolnośląskie powiat 26,02,84291,1511.9,51.43898,17.31107
0227,dolnośląskie powiat 27,02,123944,1316.3,50.75814,17.24994
0228,dolnośląskie powiat 28,02,119642,869.0,51.78862,17.60228
0229,dolnośląskie powiat 29,02,154597,951.3,51.10878,16.55648
0230,dolnośląskie powiat 30,02,60800,609.2,51.31632,17.20196
0401,kujawsko powiat 01,04,96553,251.3,53.51727,18.06747
0402,kujawsko powiat 02,04,51696,2433.4,52.85973,17.28762
0403,kujawsko powiat 03,04,85819,2313.3,53.69158,18.5059
0404,kujawsko powiat 04,04,99791,1392.1,53.79392,17.38688
0405,kujawsko powiat 05,04,91286,1366.9,52.47732,18.3993
0406,kujawsko powiat 06,04,73283,2300.2,53.19821,17.65598
0407,kujawsko powiat 07,04,40419,722.7,53.00821,17.5761
