gauge_id,gauge_name,river,gmina_code,warning_level_cm,alarm_level_cm,lat,lon,wave_delay_h
WG-001,Kłodzko,Nysa Kłodzka,0201001,268,340,50.43,16.65,0
WG-002,Bardo,Nysa Kłodzka,1604002,276,350,50.5,16.74,5
WG-003,Nysa,Nysa Kłodzka,1601001,284,360,50.47,17.33,12
WG-004,Opole,Odra,1603001,292,370,50.67,17.92,24
WG-005,Brzeg,Odra,0421005,300,380,50.86,17.47,32
WG-006,Oława,Odra,1203002,308,390,50.95,17.29,40
WG-007,Wrocław,Odra,0203001,316,400,51.11,17.04,48
WG-008,Ścinawa,Odra,2606001,324,410,51.42,16.42,60
WG-009,Głogów,Odra,0619002,332,420,51.66,16.08,72
WG-010,Krosno Odrzańskie,Odra,0801001,340,430,52.05,15.1,88
WG-011,Odra posterunek 011,Odra,2411005,301,406,50.01252,19.53154,
WG-012,San posterunek 012,San,0611007,330,437,51.24797,23.17877,
WG-013,Noteć posterunek 013,Noteć,3216004,256,408,52.6138,14.82157,
WG-014,Bug posterunek 014,Bug,0206005,290,384,51.36137,16.8298,
WG-015,Bóbr posterunek 015,Bóbr,2412003,330,491,50.34929,18.9398,
WG-016,Nysa Kłodzka posterunek 016,Nysa Kłodzka,2424001,244,420,50.75114,19.67524,
WG-017,Bug posterunek 017,Bug,2206005,249,392,54.91167,19.09798,
WG-018,Kaczawa posterunek 018,Kaczawa,1016002,309,450,51.55543,19.19327,
WG-019,Bystrzyca posterunek 019,Bystrzyca,2815004,345,463,53.62325,20.34876,
WG-020,San posterunek 020,San,1415004,243,366,52.56724,20.79925,
WG-021,San posterunek 021,San,1421001,308,427,52.39164,21.57511,
WG-022,Odra posterunek 022,Odra,2410002,226,368,51.05645,18.16568,
WG-023,Kaczawa posterunek 023,Kaczawa,0204004,310,450,50.73756,17.1742,
WG-024,Wisła posterunek 024,Wisła,2802003,225,313,54.16498,20.18842,
WG-025,Bystrzyca posterunek 025,Bystrzyca,2403004,204,340,49.90213,19.49223,
WG-026,San posterunek 026,San,1808002,226,330,50.45357,22.43758,
WG-027,Bóbr posterunek 027,Bóbr,0615007,234,353,50.6641,22.8845,
WG-028,Bystrzyca posterunek 028,Bystrzyca,2806004,261,439,54.04391,20.94836,
WG-029,Noteć posterunek 029,Noteć,3005007,206,373,53.01337,17.00067,
WG-030,Bug posterunek 030,Bug,1435005,233,386,51.95037,21.31416,
WG-031,Kaczawa posterunek 031,Kaczawa,1004002,220,324,52.02972,19.09296,
WG-032,Wisła posterunek 032,Wisła,2016006,220,378,52.90065,23.24211,
WG-033,Kaczawa posterunek 033,Kaczawa,1005004,312,452,51.52871,19.30365,
WG-034,Warta posterunek 034,Warta,3214002,248,357,53.33639,14.07436,
WG-035,Noteć posterunek 035,Noteć,1414006,257,384,51.54067,21.31761,
WG-036,Bystrzyca posterunek 036,Bystrzyca,0812001,265,438,53.44584,14.50478,
WG-037,Kaczawa posterunek 037,Kaczawa,1815004,295,414,49.78707,22.30007,
WG-038,Bug posterunek 038,Bug,2219002,280,457,54.38978,18.24422,
WG-039,Nysa Kłodzka posterunek 039,Nysa Kłodzka,2213004,283,370,54.79765,18.04384,
WG-040,Kaczawa posterunek 040,Kaczawa,2207006,345,442,54.24739,18.665,
WG-041,Bystrzyca posterunek 041,Bystrzyca,2424004,184,354,50.79522,19.48359,
WG-042,Bóbr posterunek 042,Bóbr,1205008,349,520,50.45127,20.42464,
WG-043,Bystrzyca posterunek 043,Bystrzyca,1411002,275,358,51.55772,21.71103,
WG-044,Warta posterunek 044,Warta,1606002,277,398,50.65719,17.30204,
WG-045,San posterunek 045,San,3022006,231,338,52.75743,17.16037,
WG-046,Noteć posterunek 046,Noteć,2807003,250,343,53.78525,20.17042,
WG-047,Bóbr posterunek 047,Bóbr,0422004,221,342,52.71748,17.64347,
WG-048,Bug posterunek 048,Bug,2606006,300,385,50.28332,20.40175,
WG-049,Noteć posterunek 049,Noteć,2013002,243,358,52.65192,23.60356,
WG-050,Warta posterunek 050,Warta,3206006,195,287,53.64127,14.15348,
WG-051,Kaczawa posterunek 051,Kaczawa,0410001,250,398,53.25099,17.41995,
WG-052,Noteć posterunek 052,Noteć,2001002,252,346,52.40639,23.49287,
WG-053,Wisła posterunek 053,Wisła,2602005,198,319,50.89083,20.26595,
WG-054,Wisła posterunek 054,Wisła,2211002,218,373,54.82525,18.37397,
WG-055,Bug posterunek 055,Bug,1434007,231,382,52.67207,20.43745,
WG-056,Noteć posterunek 056,Noteć,0606003,242,363,51.30405,22.91416,
WG-057,San posterunek 057,San,3032006,349,462,52.23732,17.778,
WG-058,San posterunek 058,San,3022001,254,422,53.02435,17.00327,
WG-059,Wisła posterunek 059,Wisła,0215001,197,377,50.68223,17.46701,
WG-060,Kaczawa posterunek 060,Kaczawa,1602002,294,469,50.16271,18.53675,
WG-061,Wisła posterunek 061,Wisła,1212001,262,401,49.28404,20.23501,
WG-062,Noteć posterunek 062,Noteć,1218006,272,394,49.5593,19.38142,
WG-063,Bystrzyca posterunek 063,Bystrzyca,1204004,245,402,49.82412,19.35246,
WG-064,Wisła posterunek 064,Wisła,0216001,210,372,51.28087,17.14558,
WG-065,Warta posterunek 065,Warta,2209002,281,423,54.01996,17.8793,
WG-066,San posterunek 066,San,0404007,195,340,53.86373,17.48158,
WG-067,Nysa Kłodzka posterunek 067,Nysa Kłodzka,2003004,324,459,52.64563,22.39285,
WG-068,San posterunek 068,San,0223003,263,411,50.60941,16.45786,
WG-069,Bystrzyca posterunek 069,Bystrzyca,2614001,327,449,50.36549,20.61509,
WG-070,Odra posterunek 070,Odra,0417004,324,415,52.98524,17.77154,
WG-071,Odra posterunek 071,Odra,3023001,316,416,51.91296,16.69989,
WG-072,Odra posterunek 072,Odra,2815001,326,465,53.55356,20.24055,
WG-073,Odra posterunek 073,Odra,1024004,355,490,52.27998,19.43624,
WG-074,Noteć posterunek 074,Noteć,1422001,295,469,51.78204,20.56999,
WG-075,Kaczawa posterunek 075,Kaczawa,1002008,198,301,51.02486,19.97533,
WG-076,Kaczawa posterunek 076,Kaczawa,3034005,296,443,51.64599,17.47857,
WG-077,Nysa Kłodzka posterunek 077,Nysa Kłodzka,2404001,282,435,49.53422,19.42754,
WG-078,Nysa Kłodzka posterunek 078,Nysa Kłodzka,1431007,339,468,52.2979,20.99054,
WG-079,Nysa Kłodzka posterunek 079,Nysa Kłodzka,0213001,237,358,51.16878,17.02039,
WG-080,Wisła posterunek 080,Wisła,2220003,246,354,55.01113,18.40651,
WG-081,Kaczawa posterunek 081,Kaczawa,3205005,316,454,54.04824,14.47675,
WG-082,Bug posterunek 082,Bug,1204009,270,441,50.12189,19.42495,
WG-083,Wisła posterunek 083,Wisła,3035005,228,406,52.92431,17.03015,
WG-084,Bóbr posterunek 084,Bóbr,0814005,258,361,53.17653,14.94119,
WG-085,Nysa Kłodzka posterunek 085,Nysa Kłodzka,0612002,316,473,50.47121,22.28462,
WG-086,Wisła posterunek 086,Wisła,0229003,318,442,50.9818,16.71845,
WG-087,Kaczawa posterunek 087,Kaczawa,0419001,260,369,52.6503,18.55966,
WG-088,Bóbr posterunek 088,Bóbr,1209001,257,357,49.24291,19.73829,
WG-089,Bystrzyca posterunek 089,Bystrzyca,2218003,239,346,53.90037,18.93114,
WG-090,Nysa Kłodzka posterunek 090,Nysa Kłodzka,1816004,215,351,50.68027,22.14507,
WG-091,Warta posterunek 091,Warta,0622003,186,322,51.23303,21.66307,
WG-092,Warta posterunek 092,Warta,1208008,192,329,50.1157,20.25626,
WG-093,Warta posterunek 093,Warta,2409001,230,336,50.17432,18.57968,
WG-094,Bug posterunek 094,Bug,2007005,211,302,52.70391,23.08221,
WG-095,San posterunek 095,San,1015003,328,500,52.00565,18.89739,
WG-096,Odra posterunek 096,Odra,2817003,221,397,54.08064,21.10394,
WG-097,Odra posterunek 097,Odra,1209004,305,479,49.15976,19.54442,
WG-098,Kaczawa posterunek 098,Kaczawa,1818004,286,390,50.24963,22.05571,
WG-099,Odra posterunek 099,Odra,1209007,309,435,49.40712,19.78346,
WG-100,Bystrzyca posterunek 100,Bystrzyca,2605006,310,404,50.79598,19.75504,
WG-101,Nysa Kłodzka posterunek 101,Nysa Kłodzka,2424004,181,309,50.79522,19.48359,
WG-102,Warta posterunek 102,Warta,2215004,205,330,53.8236,18.35506,
WG-103,Bystrzyca posterunek 103,Bystrzyca,1820001,196,331,49.68036,22.34268,
WG-104,Bóbr posterunek 104,Bóbr,1435007,359,449,52.32123,21.29383,
WG-105,Noteć posterunek 105,Noteć,2013001,184,299,52.7958,23.59668,
WG-106,Nysa Kłodzka posterunek 106,Nysa Kłodzka,1607003,216,327,51.08837,17.846,
WG-107,Bug posterunek 107,Bug,1016005,182,278,51.87011,19.04688,
WG-108,Wisła posterunek 108,Wisła,2819002,215,383,53.91227,20.88798,
WG-109,Nysa Kłodzka posterunek 109,Nysa Kłodzka,2601005,195,351,50.35153,21.07684,
WG-110,Bystrzyca posterunek 110,Bystrzyca,1209005,275,434,49.43172,19.84792,
WG-111,Wisła posterunek 111,Wisła,2212001,287,389,53.8817,19.29175,
WG-112,San posterunek 112,San,1015001,218,392,51.85911,19.10454,
WG-113,Kaczawa posterunek 113,Kaczawa,1019001,208,388,52.30569,19.201,
