spo_code,spo_name
SPO-1,Organizacja posiedzenia Rządowego Zespołu Zarządzania Kryzysowego
SPO-2,Uruchomienie dodatkowych środków finansowych
SPO-3,Zasady informowania ludności o zagrożeniach – organizacja procesu komunikacji społecznej w sytuacji kryzysowej
SPO-4,Tymczasowe przywrócenie kontroli granicznej na granicach RP
SPO-5,Wprowadzenie stanu klęski żywiołowej
SPO-6,Wprowadzenie stanu wyjątkowego
SPO-7,Wprowadzenie stanu wojennego
SPO-8,Postępowanie w sytuacji uprowadzenia terrorystycznego obywatela polskiego poza obszarem RP
SPO-9,Działania w przypadku masowego napływu cudzoziemców na terytorium RP
SPO-10,Współpraca między administracją publiczną a właścicielami infrastruktury krytycznej
SPO-11,Organizacja ewakuacji obywateli polskich spoza granic kraju
SPO-12,Obieg informacji pomiędzy krajowymi organami i strukturami zarządzania kryzysowego
SPO-13,Ostrzeganie i alarmowanie wojsk oraz ludności cywilnej
SPO-14,Przekraczanie granic RP przez wojska sojusznicze
SPO-15,Organizacja medycznego mostu powietrznego
SPO-16,Zwołanie i obsługa posiedzenia Zespołu do spraw Incydentów Krytycznych
