voivodeship_code,voivodeship_name,population,wczk_seat,lat,lon
02,dolnośląskie,2892000,Wrocław,51.1079,17.0385
04,kujawsko-pomorskie,2062000,Bydgoszcz/Toruń,53.1235,18.0084
06,lubelskie,2100000,Lublin,51.2465,22.5684
08,lubuskie,1008000,Gorzów Wlkp./Zielona Góra,52.7368,15.2288
10,łódzkie,2448000,Łódź,51.7592,19.456
12,małopolskie,3410000,Kraków,50.0647,19.945
14,mazowieckie,5420000,Warszawa,52.2297,21.0122
16,opolskie,980000,Opole,50.6751,17.9213
18,podkarpackie,2129000,Rzeszów,50.0412,21.9991
20,podlaskie,1181000,Białystok,53.1325,23.1688
22,pomorskie,2346000,Gdańsk,54.352,18.6466
24,śląskie,4517000,Katowice,50.2649,19.0238
26,świętokrzyskie,1233000,Kielce,50.8661,20.6286
28,warmińsko-mazurskie,1422000,Olsztyn,53.7784,20.4801
30,wielkopolskie,3498000,Poznań,52.4064,16.9252
32,zachodniopomorskie,1701000,Szczecin,53.4285,14.5528
